First Name,Last Name,Gender,Age,Business Travel,Department,Distance From Home (KM),State,Ethnicity,Education Field,Job Role,Marital Status,Salary,Stock Option Level,Over Time,Hire Date,Attrition,Years At Company,Years In Most Recent Role,Years Since Last Promotion,Years With Current Manager,Education Level
Bobbye,Alexandrescu,Non-Binary,47,Some Travel,Technology,13,CA,White,Computer Science,Data Scientist,Divorced,61915,1,No,2014-01-07,No,8,2,4,7,Bachelors 
Archaimbaud,Hawkshaw,Male,26,Some Travel,Sales,44,CA,White,Technical Degree,Sales Representative,Single,40638,0,Yes,2014-01-11,Yes,2,0,0,1,No Formal Qualifications
Quintana,Di Franceshci,Female,33,Some Travel,Technology,40,IL,Black or African American,Computer Science,Senior Software Engineer,Single,181244,0,No,2014-01-15,No,8,4,8,8,Masters 
Joan,Camings,Female,30,Frequent Traveller,Technology,28,NY,White,Information Systems,Software Engineer,Divorced,46388,1,No,2014-01-16,No,8,6,6,3,Bachelors 
Robert,Muffitt,Male,38,No Travel ,Technology,4,CA,White,Information Systems,Software Engineer,Divorced,45942,1,Yes,2014-01-30,No,8,4,5,8,Bachelors 
Kore,Munn,Female,43,Some Travel,Technology,18,IL,Other ,Computer Science,Software Engineer,Married,49882,1,No,2014-02-02,No,8,3,8,2,No Formal Qualifications
Alika,Karlik,Female,35,Some Travel,Technology,43,NY,Black or African American,Business Studies,Engineering Manager,Divorced,243863,1,Yes,2014-02-04,No,8,1,6,6,No Formal Qualifications
Sada,Torrent,Female,40,Some Travel,Technology,26,CA,Mixed or multiple ethnic groups,Information Systems,Data Scientist,Divorced,59899,3,No,2014-02-06,No,8,2,3,6,Bachelors 
Zarla,Farrans,Female,32,Some Travel,Technology,33,CA,Mixed or multiple ethnic groups,Information Systems,Data Scientist,Married,121881,2,No,2014-02-09,No,8,7,8,8,Bachelors 
Rodolfo,Askem,Male,43,Some Travel,Technology,17,CA,Black or African American,Information Systems,Machine Learning Engineer,Single,130848,0,Yes,2014-02-09,No,8,8,8,8,Masters 
Keelia,Studde,Female,34,No Travel ,Technology,8,CA,Asian or Asian American,Information Systems,Data Scientist,Single,104268,0,No,2014-02-10,No,8,7,7,7,Masters 
Mathe,Burrows,Non-Binary,30,Some Travel,Sales,37,CA,Asian or Asian American,Economics,Sales Executive,Single,341039,0,No,2014-02-16,No,8,2,4,1,Masters 
Grayce,Caesar,Female,36,Some Travel,Sales,23,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,195502,0,No,2014-02-23,No,8,0,3,0,Masters 
Anthiathia,Streeting,Female,39,Some Travel,Sales,37,IL,Asian or Asian American,Economics,Sales Representative,Single,65612,0,No,2014-02-23,No,8,2,8,7,Bachelors 
Garrett,Forrester,Male,31,Some Travel,Technology,8,IL,White,Information Systems,Software Engineer,Single,70682,0,No,2014-02-24,No,8,4,8,2,No Formal Qualifications
Monah,Fivey,Female,29,Frequent Traveller,Technology,17,CA,Black or African American,Computer Science,Data Scientist,Married,105554,1,Yes,2014-02-25,Yes,5,2,5,2,Bachelors 
Aleksandr,Casetti,Male,36,Some Travel,Technology,7,CA,Black or African American,Information Systems,Data Scientist,Divorced,46773,1,Yes,2014-02-28,No,8,7,8,2,Bachelors 
Jill,Hellewell,Female,29,Some Travel,Technology,29,CA,Mixed or multiple ethnic groups,Computer Science,Senior Software Engineer,Single,110744,0,No,2014-03-02,No,8,8,8,1,Bachelors 
Candis,Defew,Female,36,Some Travel,Technology,17,CA,Asian or Asian American,Computer Science,Data Scientist,Single,72118,0,No,2014-03-04,No,8,7,7,8,Bachelors 
Sarge,Dikels,Male,34,Frequent Traveller,Technology,34,IL,White,Information Systems,Machine Learning Engineer,Married,265922,1,Yes,2014-03-06,No,8,3,3,5,High School 
Asher,Esson,Male,34,Some Travel,Sales,19,CA,Asian or Asian American,Marketing ,Sales Representative,Single,46740,0,No,2014-03-06,No,8,1,6,1,Bachelors 
Libbey,McCreary,Female,32,Some Travel,Sales,42,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,108213,0,No,2014-03-10,No,8,6,6,4,Bachelors 
Clotilda,Lacrouts,Female,40,No Travel ,Technology,26,CA,Asian or Asian American,Business Studies,Software Engineer,Divorced,48125,3,No,2014-03-14,No,8,5,8,2,No Formal Qualifications
Edgardo,McGeouch,Male,43,Some Travel,Technology,17,CA,White,Computer Science,Software Engineer,Married,50946,0,Yes,2014-03-15,Yes,8,6,7,3,Bachelors 
Sydney,Metham,Male,44,Some Travel,Sales,27,NY,Asian or Asian American,Economics,Sales Executive,Single,101906,0,No,2014-03-15,No,8,3,4,7,Bachelors 
George,Keddie,Non-Binary,26,No Travel ,Sales,10,NY,Native Hawaiian ,Economics,Sales Executive,Single,55537,0,No,2014-03-16,Yes,4,1,1,1,High School 
Travis,Janota,Male,37,Some Travel,Technology,29,IL,Mixed or multiple ethnic groups,Computer Science,Machine Learning Engineer,Single,155506,0,No,2014-03-18,No,8,8,8,8,Bachelors 
Monty,Demead,Male,44,Some Travel,Technology,29,CA,White,Information Systems,Analytics Manager,Divorced,304520,3,Yes,2014-03-20,No,8,2,2,4,Bachelors 
Wayne,Beekmann,Non-Binary,48,Some Travel,Technology,26,NY,Mixed or multiple ethnic groups,Information Systems,Software Engineer,Married,42008,2,No,2014-03-24,No,8,7,7,0,No Formal Qualifications
Jeniece,Mac,Female,45,Some Travel,Technology,7,CA,White,Business Studies,Senior Software Engineer,Single,104720,0,No,2014-03-29,No,8,7,7,0,Masters 
Beckie,Tawn,Female,28,Some Travel,Technology,12,CA,White,Computer Science,Data Scientist,Married,115895,1,No,2014-03-31,Yes,4,1,3,2,High School 
Dot,Aherne,Female,27,Some Travel,Technology,30,CA,White,Information Systems,Data Scientist,Single,49374,0,Yes,2014-04-02,Yes,1,0,0,1,No Formal Qualifications
Danita,Paal,Non-Binary,31,Frequent Traveller,Sales,35,CA,White,Marketing,Sales Executive,Married,115982,1,No,2014-04-03,No,8,7,7,4,Bachelors 
Micky,Beville,Female,35,Frequent Traveller,Sales,43,CA,Black or African American,Economics,Sales Representative,Married,46112,1,No,2014-04-11,No,8,6,7,2,High School 
Kristien,Vedikhov,Female,28,Frequent Traveller,Sales,40,IL,Black or African American,Marketing ,Sales Executive,Married,215327,1,No,2014-04-13,No,8,1,6,8,Doctorate
Sancho,Rawlingson,Male,40,Some Travel,Technology,39,CA,White,Computer Science,Analytics Manager,Divorced,409998,2,No,2014-04-14,No,8,3,6,3,High School 
Hernando,Larkings,Male,35,Some Travel,Technology,26,CA,White,Information Systems,Engineering Manager,Married,311475,0,No,2014-04-15,No,8,0,0,2,Bachelors 
Shela,Toseland,Female,32,Frequent Traveller,Technology,14,CA,Black or African American,Computer Science,Machine Learning Engineer,Divorced,97595,2,No,2014-04-20,No,8,0,0,1,No Formal Qualifications
Briana,Bubeer,Female,33,No Travel ,Sales,41,NY,Mixed or multiple ethnic groups,Economics,Sales Executive,Single,193190,0,Yes,2014-04-22,No,8,0,3,4,High School 
Germana,Ludlom,Female,36,Some Travel,Technology,21,CA,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Divorced,57327,2,No,2014-04-24,No,8,5,8,4,Masters 
Clayton,Hinemoor,Male,29,Some Travel,Technology,8,NY,White,Computer Science,Machine Learning Engineer,Married,119083,2,No,2014-04-25,No,8,3,6,4,High School 
Desmond,O'Fallone,Prefer Not To Say,41,Some Travel,Sales,33,NY,American Indian or Alaska Native,Marketing ,Sales Executive,Divorced,119592,1,Yes,2014-05-06,No,8,7,8,2,No Formal Qualifications
Thebault,Bitterton,Male,44,Some Travel,Technology,5,NY,Mixed or multiple ethnic groups,Business Studies,Software Engineer,Married,48994,0,No,2014-05-09,No,8,7,7,3,Bachelors 
Artemus,Boyet,Male,26,Some Travel,Sales,45,CA,Black or African American,Technical Degree,Sales Representative,Married,20650,1,No,2014-05-10,Yes,2,0,0,1,Bachelors 
Carlyle,Tinghill,Male,29,No Travel ,Technology,12,IL,White,Computer Science,Data Scientist,Married,62756,0,No,2014-05-14,No,8,3,5,8,Masters 
Gaspar,O' Concannon,Male,29,Some Travel,Sales,3,CA,American Indian or Alaska Native,Other,Sales Representative,Single,46465,0,Yes,2014-05-16,Yes,4,3,3,3,Bachelors 
Ignacius,Dockrill,Non-Binary,34,Frequent Traveller,Technology,12,CA,White,Computer Science,Data Scientist,Married,44057,1,Yes,2014-05-17,No,8,7,7,1,High School 
Baird,Trays,Non-Binary,48,Frequent Traveller,Sales,9,NY,Native Hawaiian ,Economics,Sales Executive,Divorced,288450,2,Yes,2014-05-24,No,8,2,6,4,Bachelors 
Jennee,Proske,Female,41,Some Travel,Sales,42,CA,Asian or Asian American,Technical Degree,Sales Executive,Married,142853,1,No,2014-05-27,No,8,7,8,7,Bachelors 
Lilla,Ledamun,Female,29,Some Travel,Technology,36,CA,Asian or Asian American,Computer Science,Data Scientist,Married,46813,0,No,2014-05-29,Yes,6,1,1,1,Bachelors 
Marilee,Moreton,Female,46,No Travel ,Technology,21,CA,Other ,Computer Science,Analytics Manager,Married,281175,0,Yes,2014-06-02,No,8,1,2,2,No Formal Qualifications
Butch,Quinby,Male,40,Some Travel,Technology,22,CA,Black or African American,Business Studies,Data Scientist,Married,38849,1,No,2014-06-06,No,8,6,6,3,No Formal Qualifications
Denys,Agastina,Non-Binary,37,Some Travel,Sales,30,NY,Native Hawaiian ,Marketing,Sales Executive,Married,61117,1,Yes,2014-06-10,No,8,2,5,0,Bachelors 
Dori,Bevens,Female,40,Some Travel,Sales,2,NY,White,Technical Degree,Sales Executive,Married,204005,1,No,2014-06-10,No,8,7,7,3,Masters 
Cristiano,Brugger,Male,30,Some Travel,Technology,19,CA,Black or African American,Information Systems,Data Scientist,Married,53336,1,No,2014-06-11,No,8,3,3,7,Bachelors 
Hilary,McPhee,Male,33,Some Travel,Technology,31,CA,White,Information Systems,Data Scientist,Married,60754,1,No,2014-06-15,No,8,7,8,1,No Formal Qualifications
Avery,Larimer,Male,41,Some Travel,Technology,16,CA,Black or African American,Computer Science,Data Scientist,Married,45989,1,No,2014-06-17,No,8,4,8,4,High School 
John,Tempest,Male,43,No Travel ,Technology,14,NY,White,Computer Science,Data Scientist,Married,76331,0,No,2014-06-18,No,8,2,4,3,No Formal Qualifications
Myrtie,Tythe,Female,33,No Travel ,Sales,29,IL,White,Economics,Sales Executive,Married,65094,0,No,2014-06-20,No,8,8,8,0,Bachelors 
Faina,Bewshaw,Non-Binary,26,Frequent Traveller,Sales,14,IL,Mixed or multiple ethnic groups,Marketing ,Sales Executive,Divorced,71349,2,No,2014-06-20,Yes,7,2,2,1,Masters 
Beitris,Davers,Female,32,Frequent Traveller,Technology,40,CA,White,Computer Science,Data Scientist,Single,60759,0,No,2014-06-22,No,8,0,6,3,Doctorate
Noak,Pointing,Male,37,Some Travel,Sales,22,CA,White,Marketing,Sales Executive,Divorced,92483,1,Yes,2014-06-23,No,8,5,5,3,Masters 
Dulci,Berthot,Female,36,Some Travel,Technology,43,CA,Black or African American,Computer Science,Analytics Manager,Single,454993,0,No,2014-06-24,No,8,3,4,0,Bachelors 
Ryan,Gaffey,Male,31,Some Travel,Technology,10,IL,White,Computer Science,Senior Software Engineer,Married,168087,1,No,2014-06-24,No,8,4,7,3,Bachelors 
Dennis,Whopples,Male,38,Some Travel,Technology,4,NY,Mixed or multiple ethnic groups,Other,Analytics Manager,Married,361616,1,Yes,2014-06-25,No,8,1,6,5,Masters 
Letta,Van der Kruys,Female,28,Some Travel,Technology,23,CA,Mixed or multiple ethnic groups,Business Studies,Data Scientist,Married,65328,1,No,2014-06-27,Yes,5,4,4,0,High School 
Saraann,Justice,Female,38,Frequent Traveller,Technology,31,NY,Black or African American,Computer Science,Data Scientist,Married,90187,1,Yes,2014-06-27,No,8,4,5,2,Bachelors 
Eleanore,Gundrey,Female,48,Some Travel,Technology,43,CA,White,Information Systems,Data Scientist,Married,56053,1,No,2014-06-27,No,8,6,8,4,Bachelors 
Cris,Jeram,Male,41,Frequent Traveller,Human Resources,39,CA,Mixed or multiple ethnic groups,Human Resources,HR Executive,Single,79990,0,No,2014-06-29,No,8,5,5,8,No Formal Qualifications
Normy,De la Harpe,Male,46,Some Travel,Technology,24,CA,White,Computer Science,Data Scientist,Divorced,43487,1,No,2014-06-29,No,8,8,8,8,Masters 
Leigh,Parker,Female,28,Some Travel,Sales,32,CA,Mixed or multiple ethnic groups,Economics,Sales Representative,Married,52528,0,No,2014-07-02,No,8,2,4,6,No Formal Qualifications
Marthe,Mattisson,Female,43,Some Travel,Technology,31,CA,Black or African American,Information Systems,Software Engineer,Single,98693,0,No,2014-07-04,No,8,5,8,6,No Formal Qualifications
Felicity,Hayler,Female,43,Frequent Traveller,Sales,40,CA,White,Economics,Sales Executive,Married,86038,3,No,2014-07-06,No,8,1,3,3,Masters 
Udall,Dowson,Male,48,Some Travel,Technology,19,CA,Black or African American,Computer Science,Engineering Manager,Divorced,241907,3,No,2014-07-07,No,8,3,3,0,Doctorate
Chelsie,Isakovitch,Female,29,Frequent Traveller,Sales,18,CA,American Indian or Alaska Native,Marketing,Sales Executive,Single,177402,0,No,2014-07-10,Yes,6,3,5,3,Bachelors 
Dorry,Tiddy,Female,42,Frequent Traveller,Sales,37,CA,Mixed or multiple ethnic groups,Marketing ,Sales Executive,Single,189256,0,No,2014-07-10,No,8,1,2,2,Bachelors 
Yoshiko,Abrahart,Female,45,Some Travel,Technology,13,CA,White,Other,Analytics Manager,Single,349793,0,No,2014-07-10,No,8,0,8,6,High School 
Ray,Holbie,Female,37,Some Travel,Technology,40,NY,American Indian or Alaska Native,Information Systems,Data Scientist,Married,49550,3,No,2014-07-11,No,8,2,8,6,Masters 
Benyamin,Jane,Male,36,Some Travel,Sales,13,CA,White,Marketing ,Sales Executive,Single,121303,0,No,2014-07-12,No,8,2,3,0,Bachelors 
Cynthy,Gainsford,Female,36,Some Travel,Sales,37,CA,Mixed or multiple ethnic groups,Marketing ,Sales Executive,Divorced,192475,2,No,2014-07-20,No,8,2,2,0,Bachelors 
Jeanie,Geater,Female,32,Some Travel,Technology,31,NY,White,Business Studies,Senior Software Engineer,Married,186169,0,No,2014-07-26,No,8,2,6,0,Masters 
Auguste,Windsor,Female,32,No Travel ,Sales,2,CA,Black or African American,Marketing,Sales Executive,Divorced,114246,1,No,2014-07-26,No,8,3,6,5,Masters 
Giles,Bilham,Male,29,Some Travel,Human Resources,14,IL,Native Hawaiian ,Technical Degree,Recruiter,Married,46703,0,No,2014-07-31,Yes,0,0,0,0,Masters 
Ursa,O'Deegan,Female,26,Some Travel,Technology,37,NY,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Single,26296,0,Yes,2014-08-01,Yes,5,2,2,2,Bachelors 
Erin,Pickavance,Female,36,Frequent Traveller,Technology,6,CA,Asian or Asian American,Information Systems,Data Scientist,Single,51050,0,Yes,2014-08-05,No,8,6,7,2,Masters 
Rafaelita,Lere,Prefer Not To Say,40,Some Travel,Technology,29,NY,White,Business Studies,Analytics Manager,Married,295688,0,No,2014-08-05,No,8,1,5,8,High School 
Corbin,Gooddy,Male,26,Frequent Traveller,Human Resources,17,CA,Mixed or multiple ethnic groups,Human Resources,Recruiter,Divorced,30502,1,No,2014-08-09,Yes,0,0,0,0,Bachelors 
Dody,Stiggles,Female,38,Frequent Traveller,Technology,2,CA,White,Computer Science,Data Scientist,Single,58828,0,No,2014-08-11,No,8,7,8,0,Masters 
Debbie,Martinho,Female,27,Frequent Traveller,Sales,43,CA,Mixed or multiple ethnic groups,Marketing,Sales Representative,Single,24583,0,Yes,2014-08-16,Yes,7,0,1,6,Bachelors 
Ezri,Cours,Male,44,Some Travel,Technology,4,NY,Black or African American,Other,Data Scientist,Divorced,85523,1,Yes,2014-08-18,Yes,8,0,4,1,Masters 
Conrado,Tomaini,Non-Binary,29,Some Travel,Technology,24,NY,Black or African American,Computer Science,Software Engineer,Single,41307,0,No,2014-08-19,Yes,0,0,0,0,Bachelors 
Benton,Irdale,Male,31,Some Travel,Technology,20,CA,Black or African American,Computer Science,Senior Software Engineer,Divorced,149482,1,Yes,2014-08-22,No,8,3,7,2,High School 
Kaylil,Blenkiron,Non-Binary,35,Some Travel,Technology,31,CA,Asian or Asian American,Computer Science,Software Engineer,Single,77269,0,No,2014-09-13,No,8,8,8,6,Masters 
Bella,Stearn,Prefer Not To Say,33,Some Travel,Sales,30,CA,Mixed or multiple ethnic groups,Economics,Sales Executive,Married,90726,0,No,2014-09-17,No,8,0,5,1,Bachelors 
Norbie,Mosdill,Male,31,Frequent Traveller,Technology,38,CA,White,Computer Science,Analytics Manager,Divorced,547204,1,Yes,2014-09-28,No,8,7,8,5,No Formal Qualifications
Giffy,Rofe,Male,33,No Travel ,Technology,26,CA,White,Computer Science,Data Scientist,Divorced,43998,3,No,2014-09-29,No,8,6,7,2,Bachelors 
Ilysa,Cattroll,Female,30,Some Travel,Sales,24,CA,Mixed or multiple ethnic groups,Marketing ,Sales Representative,Single,38382,0,Yes,2014-10-02,No,8,7,8,0,Masters 
Clive,Sherwen,Male,44,Some Travel,Technology,28,CA,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Married,49447,1,No,2014-10-09,No,8,7,7,8,Bachelors 
Winthrop,McCahill,Male,40,No Travel ,Technology,28,CA,White,Information Systems,Software Engineer,Divorced,46285,3,No,2014-10-23,No,8,8,8,3,Bachelors 
Stillman,Castiello,Male,44,Some Travel,Sales,35,CA,Mixed or multiple ethnic groups,Marketing,Sales Representative,Married,75667,1,No,2014-10-27,No,8,6,6,3,Bachelors 
Rickey,Colafate,Male,47,Frequent Traveller,Sales,42,NY,White,Marketing,Sales Executive,Married,232155,0,No,2014-10-30,No,8,7,7,3,Bachelors 
Kendricks,Durtnell,Male,44,Frequent Traveller,Technology,18,CA,Black or African American,Computer Science,Senior Software Engineer,Single,102708,0,Yes,2014-11-03,No,8,3,4,7,Bachelors 
Care,Heintze,Male,28,Frequent Traveller,Technology,3,NY,White,Business Studies,Software Engineer,Married,58993,1,Yes,2014-11-07,Yes,7,2,7,1,Bachelors 
Edna,Petrello,Female,30,Some Travel,Technology,32,NY,Asian or Asian American,Computer Science,Software Engineer,Single,155259,0,No,2014-11-10,No,8,3,5,6,Masters 
Carolynn,Gilby,Female,39,No Travel ,Sales,12,NY,White,Marketing ,Sales Executive,Single,89351,0,No,2014-11-11,No,8,2,2,0,High School 
Darwin,Capelle,Male,37,Frequent Traveller,Technology,15,NY,Black or African American,Computer Science,Data Scientist,Married,53929,2,No,2014-11-15,No,8,7,7,5,Masters 
Roda,Costin,Female,28,Frequent Traveller,Technology,27,CA,White,Information Systems,Analytics Manager,Married,546549,1,No,2014-11-18,No,8,8,8,2,High School 
Cassandra,Udden,Female,48,Some Travel,Sales,4,NY,Black or African American,Marketing,Sales Representative,Single,55880,0,No,2014-11-19,No,8,1,6,5,Bachelors 
Bengt,Keaves,Male,29,Some Travel,Technology,36,NY,White,Information Systems,Data Scientist,Divorced,86428,3,No,2014-11-20,Yes,6,5,5,5,No Formal Qualifications
Spenser,Pyzer,Male,47,Some Travel,Technology,12,CA,White,Information Systems,Software Engineer,Single,105126,0,No,2014-11-21,No,8,0,7,1,Masters 
Evvy,Labbez,Female,32,Frequent Traveller,Sales,22,NY,White,Marketing,Sales Executive,Married,142488,1,No,2014-11-22,No,8,0,6,7,Bachelors 
Lindy,Carratt,Female,30,Some Travel,Technology,38,CA,White,Computer Science,Data Scientist,Married,88609,1,Yes,2014-11-24,No,8,4,4,1,Masters 
Karylin,Aphale,Female,29,Frequent Traveller,Technology,12,IL,Mixed or multiple ethnic groups,Information Systems,Software Engineer,Single,72057,0,No,2014-11-27,No,8,8,8,3,Bachelors 
Forester,Bentjens,Male,41,Some Travel,Sales,11,IL,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,81654,0,No,2014-11-28,No,8,3,4,7,No Formal Qualifications
Florenza,Nesbit,Female,44,Some Travel,Technology,13,NY,White,Information Systems,Software Engineer,Single,57296,0,No,2014-11-29,No,8,5,7,3,Bachelors 
Annaliese,Hedingham,Female,28,Some Travel,Technology,27,NY,Mixed or multiple ethnic groups,Information Systems,Machine Learning Engineer,Divorced,117918,2,No,2014-12-02,No,8,3,8,7,High School 
Basil,Gother,Male,47,Some Travel,Sales,23,CA,Black or African American,Marketing,Sales Representative,Married,44646,0,No,2014-12-02,No,8,5,5,4,Bachelors 
Cody,Tipple,Female,47,Some Travel,Sales,14,NY,White,Marketing ,Manager,Single,410970,0,No,2014-12-06,No,8,2,5,8,Masters 
Ware,Casbon,Male,47,Some Travel,Sales,17,CA,White,Other,Sales Executive,Single,106840,0,No,2014-12-06,No,8,3,4,8,Bachelors 
Anna-diana,Horbart,Female,37,Some Travel,Sales,17,CA,White,Economics,Manager,Single,476151,0,No,2014-12-08,No,8,3,4,8,Masters 
Jacques,Verne,Male,34,Some Travel,Technology,24,CA,Asian or Asian American,Computer Science,Software Engineer,Married,42721,1,No,2014-12-10,No,8,3,3,7,Bachelors 
Fionna,Wilkison,Female,38,Some Travel,Sales,13,CA,Black or African American,Marketing,Sales Executive,Divorced,240248,1,Yes,2014-12-14,No,8,4,8,0,Bachelors 
Eryn,Crockley,Female,26,Some Travel,Technology,25,CA,White,Information Systems,Software Engineer,Married,22089,1,Yes,2014-12-15,Yes,1,0,0,0,Bachelors 
Julina,Coatsworth,Female,37,Some Travel,Sales,19,NY,White,Marketing ,Sales Executive,Married,230381,1,No,2014-12-19,No,8,3,3,7,Bachelors 
Kathye,Malia,Non-Binary,40,Frequent Traveller,Technology,7,IL,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Married,95808,2,No,2014-12-21,No,8,8,8,2,Bachelors 
Darbee,Larmor,Male,32,Some Travel,Technology,30,CA,Black or African American,Computer Science,Software Engineer,Married,48377,1,Yes,2014-12-21,No,8,5,5,6,Masters 
Freedman,Meehan,Male,31,Some Travel,Sales,10,CA,Black or African American,Marketing ,Sales Executive,Single,110076,0,Yes,2014-12-23,No,8,5,8,6,Bachelors 
Pauly,Gero,Male,41,Some Travel,Human Resources,36,CA,White,Human Resources,HR Executive,Married,131047,0,No,2014-12-23,No,8,4,4,7,Bachelors 
Josiah,Sloam,Non-Binary,30,Some Travel,Sales,11,CA,White,Marketing,Sales Executive,Married,127014,0,No,2014-12-26,No,8,4,8,0,No Formal Qualifications
Algernon,Harder,Male,27,Some Travel,Sales,1,CA,Black or African American,Marketing ,Sales Representative,Single,30870,0,No,2014-12-28,Yes,3,1,2,3,Masters 
Emilie,Panter,Non-Binary,41,Frequent Traveller,Technology,7,NY,American Indian or Alaska Native,Computer Science,Software Engineer,Married,96632,1,No,2014-12-31,No,8,2,8,0,Bachelors 
Linoel,Rambadt,Male,43,Some Travel,Technology,40,CA,Black or African American,Information Systems,Software Engineer,Single,63511,0,No,2014-12-31,No,8,5,7,4,Bachelors 
Wallas,Crinage,Non-Binary,27,No Travel ,Sales,2,CA,Black or African American,Other,Sales Executive,Divorced,92022,1,No,2015-01-06,No,7,7,7,0,Bachelors 
Kathye,Balden,Female,27,Some Travel,Technology,1,CA,White,Computer Science,Software Engineer,Single,31450,0,No,2015-01-10,No,7,3,5,7,Bachelors 
Zenia,Rattery,Female,25,Frequent Traveller,Human Resources,3,CA,American Indian or Alaska Native,Human Resources,Recruiter,Married,23547,0,No,2015-01-13,Yes,3,0,2,1,Bachelors 
Sherie,Pattington,Female,26,Some Travel,Technology,20,CA,White,Business Studies,Software Engineer,Single,33273,0,Yes,2015-01-20,Yes,2,1,1,0,Bachelors 
Allister,Noads,Male,28,Frequent Traveller,Technology,7,CA,White,Business Studies,Senior Software Engineer,Married,140538,1,No,2015-01-21,No,7,3,5,0,Masters 
Terrie,Barnish,Female,27,Some Travel,Technology,30,CA,Mixed or multiple ethnic groups,Information Systems,Analytics Manager,Divorced,240633,1,No,2015-01-22,No,7,1,6,7,High School 
Kerr,Sporner,Male,27,Some Travel,Technology,19,IL,American Indian or Alaska Native,Computer Science,Software Engineer,Divorced,25276,1,No,2015-01-22,No,7,6,7,1,Masters 
Malina,Chivrall,Female,26,Some Travel,Human Resources,5,CA,Mixed or multiple ethnic groups,Human Resources,HR Manager,Married,315071,1,Yes,2015-01-25,No,7,7,7,1,Masters 
Billie,Sanday,Non-Binary,26,Some Travel,Technology,16,CA,White,Computer Science,Senior Software Engineer,Married,54746,1,Yes,2015-01-27,No,7,2,4,4,No Formal Qualifications
Lynnelle,Peizer,Female,25,Some Travel,Technology,20,NY,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Married,43438,1,Yes,2015-01-29,No,7,7,7,3,High School 
Dina,Paice,Female,27,No Travel ,Technology,34,CA,Asian or Asian American,Business Studies,Data Scientist,Single,30783,0,No,2015-02-03,No,7,7,7,2,High School 
Arnaldo,Balling,Male,26,Some Travel,Technology,31,CA,White,Computer Science,Engineering Manager,Married,148211,3,Yes,2015-02-11,No,7,1,6,0,High School 
Haywood,Ruprich,Male,28,Some Travel,Technology,15,NY,White,Computer Science,Data Scientist,Married,83951,2,No,2015-02-12,No,7,3,6,5,Bachelors 
Michele,Deane,Female,27,Some Travel,Sales,25,NY,White,Technical Degree,Sales Executive,Married,91202,0,Yes,2015-02-15,No,7,5,7,2,Bachelors 
Liuka,Attenbrough,Female,27,Some Travel,Technology,40,CA,Asian or Asian American,Information Systems,Senior Software Engineer,Married,112728,1,No,2015-02-18,No,7,5,6,4,Masters 
Tommi,Lapish,Female,25,Some Travel,Sales,38,IL,Mixed or multiple ethnic groups,Marketing ,Sales Executive,Single,57018,0,No,2015-02-21,Yes,1,0,0,0,High School 
Port,Lording,Male,27,Some Travel,Technology,27,CA,Mixed or multiple ethnic groups,Information Systems,Machine Learning Engineer,Married,92522,0,No,2015-02-22,No,7,4,5,2,Masters 
Giraldo,Matyashev,Male,28,No Travel ,Technology,30,CA,White,Computer Science,Data Scientist,Single,52930,0,No,2015-02-23,No,7,1,4,2,Bachelors 
Issi,Early,Prefer Not To Say,25,Some Travel,Technology,4,NY,White,Computer Science,Engineering Manager,Single,179602,0,No,2015-03-01,No,7,6,6,6,High School 
Bertrand,Davidsen,Male,27,Frequent Traveller,Technology,9,NY,Black or African American,Computer Science,Software Engineer,Married,39001,0,Yes,2015-03-03,No,7,7,7,4,Masters 
Sheffield,Feldon,Male,27,Some Travel,Sales,42,CA,Other ,Technical Degree,Sales Executive,Married,68638,0,Yes,2015-03-10,No,7,7,7,0,High School 
Nevil,Callaby,Male,26,Some Travel,Sales,24,CA,White,Marketing,Sales Executive,Single,85982,0,No,2015-03-13,Yes,5,1,1,0,Bachelors 
Sigismundo,Durtnel,Male,25,No Travel ,Technology,12,NY,Black or African American,Information Systems,Data Scientist,Single,31962,0,No,2015-03-14,No,7,2,7,4,Bachelors 
Cristian,Dignum,Male,25,Some Travel,Technology,23,NY,Black or African American,Computer Science,Data Scientist,Single,24626,0,No,2015-03-14,No,7,7,7,1,Bachelors 
Mick,Tomaschke,Male,25,Frequent Traveller,Sales,25,NY,White,Marketing ,Sales Executive,Single,57030,0,No,2015-03-20,No,7,5,7,6,No Formal Qualifications
Franciska,Cubbin,Female,28,Frequent Traveller,Technology,38,CA,Mixed or multiple ethnic groups,Computer Science,Data Scientist,Married,87704,2,No,2015-03-28,No,7,1,3,6,Masters 
Creigh,Lissaman,Male,25,Some Travel,Sales,12,NY,Asian or Asian American,Marketing,Sales Executive,Divorced,67814,0,No,2015-03-28,No,7,6,7,1,Masters 
Farica,Fardell,Non-Binary,41,Some Travel,Human Resources,11,NY,Black or African American,Economics,HR Business Partner,Single,445906,0,Yes,2015-04-01,No,7,1,5,4,High School 
